1,{"name":"Word of Recall (OLD)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=1/word-of-recall-old\"><b class=\"whtt-name\">Word of Recall (OLD)</b></a><br />10 Mana<br />10 sec cast","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
3,{"name":"Word of Mass Recall (OLD)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=3/word-of-mass-recall-old\"><b class=\"whtt-name\">Word of Mass Recall (OLD)</b></a><br />10 Mana<br />20 sec cast","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
4,{"name":"Word of Recall Other","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=4/word-of-recall-other\"><b class=\"whtt-name\">Word of Recall Other</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
5,{"name":"Death Touch","icon":"classic_temp","tooltip":"<table><tr><td><a class=\"whtt-name\" href=\"/classic/spell=5/death-touch\"><b class=\"whtt-name\">Death Touch</b></a><br />100 yd range<br />Instant</td></tr></table><table><tr><td><div class=\"q\">Instantly Kills the target. &nbsp;I hope you feel good about yourself now.....</div></td></tr></table>","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
7,{"name":"Suicide","icon":"spell_shadow_lifedrain","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=7/suicide\"><b class=\"whtt-name\">Suicide</b></a><br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
10,{"name":"Blizzard","icon":"spell_frost_icestorm","tooltip":"<table><tr><td><table width=\"100%\"><tr><td><a class=\"whtt-name\" href=\"/classic/spell=10/blizzard\"><b class=\"whtt-name\">Blizzard</b></a></td><th><b class=\"q0\">Rank 1<br>Level <!--lvl-->60</b></th></tr></table><table width=\"100%\"><tr><td>320 Mana</td><th>30 yd range</th></tr></table>Channeled (8 sec cast)<div class=\"wowhead-tooltip-requirements\">Requires Mage</div><span class=\"wowhead-tooltip-requirements\">Requires level 20</span><br /></td></tr></table><table><tr><td><div class=\"q\">Ice shards pelt the target area doing 200 Frost damage over 8 sec.</div></td></tr></table>","tooltip2":"","buff":"<table><tr><td><b class=\"q\">Blizzard</b></td></tr></table><table><tr><td><!--ppl10:20:25:25:10:1-->26 Frost damage every 1 second.<br><span class=\"q\">8 seconds remaining</span></td></tr></table>","quality":null,"spells":{},"buffspells":{},"completion_category":7}
11,{"name":"Swiftness","icon":"spell_nature_timestop","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=11/swiftness\"><b class=\"whtt-name\">Swiftness</b></a><br />33 Mana<table width=\"100%\"><tr><td>Instant</td><th>1 min cooldown</th></tr></table><span class=\"wowhead-tooltip-requirements\">Requires level 20</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
12,{"name":"Hot Foot (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=12/hot-foot-test\"><b class=\"whtt-name\">Hot Foot (TEST)</b></a><br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
13,{"name":"Swim Speed (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=13/swim-speed-test\"><b class=\"whtt-name\">Swim Speed (TEST)</b></a><br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
14,{"name":"Mana Drain","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=14/mana-drain\"><b class=\"whtt-name\">Mana Drain</b></a><br />10 Mana<br />Instant<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
15,{"name":"Leech (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=15/leech-test\"><b class=\"whtt-name\">Leech (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
16,{"name":"Fear (NYI)","icon":"spell_shadow_possession","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=16/fear-nyi\"><b class=\"whtt-name\">Fear (NYI)</b></a><table width=\"100%\"><tr><td>56 Mana</td><th>30 yd range</th></tr></table><table width=\"100%\"><tr><td>3 sec cast</td><th>30 sec cooldown</th></tr></table><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
17,{"name":"Power Word: Shield","icon":"spell_holy_powerwordshield","tooltip":"<table><tr><td><table width=\"100%\"><tr><td><a class=\"whtt-name\" href=\"/classic/spell=17/power-word-shield\"><b class=\"whtt-name\">Power Word: Shield</b></a></td><th><b class=\"q0\">Rank 1<br>Level <!--lvl-->60</b></th></tr></table><table width=\"100%\"><tr><td>45 Mana</td><th>40 yd range</th></tr></table><table width=\"100%\"><tr><td>Instant</td><th>4 sec cooldown</th></tr></table><div class=\"wowhead-tooltip-requirements\">Requires Priest</div><span class=\"wowhead-tooltip-requirements\">Requires level 6</span><br /></td></tr></table><table><tr><td><div class=\"q\">Draws on the soul of the party member to shield them, absorbing <!--ppl17:6:11:44:80:1-->48 damage. &nbsp;Lasts 30 sec. &nbsp;While the shield holds, spellcasting will not be interrupted by damage. &nbsp;Once shielded, the target cannot be shielded again for 15 sec.</div></td></tr></table>","tooltip2":"","buff":"<table><tr><td><table width=\"100%\"><tr><td><b class=\"q\">Power Word: Shield</b></td><th class=\"q\"><b class=\"q\">Magic</b></th></tr></table></td></tr></table><table><tr><td>Absorbs damage.<br><span class=\"q\">30 seconds remaining</span></td></tr></table>","quality":null,"spells":{},"buffspells":{},"completion_category":7}
18,{"name":"Heal Self (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=18/heal-self-test\"><b class=\"whtt-name\">Heal Self (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
19,{"name":"SWORDSPECIAL (DND)","icon":"ability_criticalstrike","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=19/swordspecial-dnd\"><b class=\"whtt-name\">SWORDSPECIAL (DND)</b></a>","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
22,{"name":"Super Food (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=22/super-food-test\"><b class=\"whtt-name\">Super Food (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
24,{"name":"Major Heal Self (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=24/major-heal-self-test\"><b class=\"whtt-name\">Major Heal Self (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
25,{"name":"Stun","icon":"spell_frost_stun","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=25/stun\"><b class=\"whtt-name\">Stun</b></a><br />Melee Range<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
26,{"name":"Bind Self (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=26/bind-self-test\"><b class=\"whtt-name\">Bind Self (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
27,{"name":"Goldshire Portal","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=27/goldshire-portal\"><b class=\"whtt-name\">Goldshire Portal</b></a><table width=\"100%\"><tr><td>10 Mana</td><th>20 yd range</th></tr></table>5 sec cast<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
31,{"name":"Teleport Goldshire","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=31/teleport-goldshire\"><b class=\"whtt-name\">Teleport Goldshire</b></a><br />2 sec cast<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
33,{"name":"Teleport Westfall","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=33/teleport-westfall\"><b class=\"whtt-name\">Teleport Westfall</b></a><br />2 sec cast<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
34,{"name":"Teleport Duskwood","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=34/teleport-duskwood\"><b class=\"whtt-name\">Teleport Duskwood</b></a><br />2 sec cast<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
35,{"name":"Teleport Elwynn","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=35/teleport-elwynn\"><b class=\"whtt-name\">Teleport Elwynn</b></a><br />2 sec cast<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
43,{"name":"Berserk","icon":"ability_racial_bloodrage","tooltip":"<table width=\"100%\"><tr><td><a class=\"whtt-name\" href=\"/classic/spell=43/berserk\"><b class=\"whtt-name\">Berserk</b></a></td><th><b class=\"q0\">Racial</b></th></tr></table><table width=\"100%\"><tr><td>Instant</td><th>10 min cooldown</th></tr></table><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
45,{"name":"War Stomp","icon":"ability_bullrush","tooltip":"<table><tr><td><a class=\"whtt-name\" href=\"/classic/spell=45/war-stomp\"><b class=\"whtt-name\">War Stomp</b></a><br />Instant<br /><span class=\"wowhead-tooltip-requirements\">Requires level 45</span><br /></td></tr></table><table><tr><td><div class=\"q\">Knocks nearby enemies back.</div></td></tr></table>","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
47,{"name":"Sprint (TEST)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=47/sprint-test\"><b class=\"whtt-name\">Sprint (TEST)</b></a><table width=\"100%\"><tr><td>Instant</td><th>5 min cooldown</th></tr></table><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
49,{"name":"Healing Touch (TEST)","icon":"spell_holy_layonhands","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=49/healing-touch-test\"><b class=\"whtt-name\">Healing Touch (TEST)</b></a><br />10 Mana<br />Instant","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
50,{"name":"Zone Recall (OLD)","icon":"classic_temp","tooltip":"<a class=\"whtt-name\" href=\"/classic/spell=50/zone-recall-old\"><b class=\"whtt-name\">Zone Recall (OLD)</b></a><br />30 Mana<br />Instant<br /><span class=\"wowhead-tooltip-requirements\">Requires level 1</span><br />","tooltip2":"","buff":"","quality":null,"spells":{},"buffspells":{},"completion_category":0}
